Nama,Deskripsi,Bahan,"Tags (makanan, minuman, camilan)","Tags (manis, gurih, asin, pedas, pahit)",Kalori (100g),Gula(g),Lemak(g),Karbohidrat(g),Serat(g),Protein(g),Sodium(mg),Vitamin C(mg),Vitamin A(IU),Asal
soto padang,Sup dengan kuah kaldu bening dan isian daging sapi serta rempah.,"Daging sapi, rempah",makanan ,"asin, gurih",200,2,10,22,2,12,400,10,80,"Padang, Sumatera Barat"
gulai tambusu,Gulai daging atau ikan dengan kuah santan dan rempah yang kuat.,"Daging/ikan, santan, rempah",makanan ,gurih,250,6,14,30,3,8,350,5,70,"Padang, Sumatera Barat"
pempek,"Makanan berbahan dasar ikan tenggiri dan tepung, disajikan dengan kuah cuka pedas.","Ikan tenggiri, tepung, cuka",makanan ,"asin, gurih, pedas",300,4,16,32,3,15,450,8,60,"Palembang, Sumatera Selatan"
tekwan,"Sup ikan dengan bola ikan, jamur, dan mie soun, disajikan dengan kuah bening.","Ikan, mie soun, jamur",makanan ,"asin, gurih",250,5,12,30,3,10,400,10,70,"Palembang, Sumatera Selatan"
pindang patin,Sup ikan patin dengan kuah pedas dan asam.,"Ikan patin, rempah, asam",makanan ,"asin, gurih",200,2,7,20,2,15,350,15,80,"Palembang, Sumatera Selatan"
mie celor,Mie dengan kuah santan kental dan disajikan dengan telur serta sayuran.,"Mie, santan, telur, sayur",makanan ,gurih,350,5,18,45,3,9,500,8,70,"Palembang, Sumatera Selatan"
makauhe tumpah,Bubur ketan hitam dengan kelapa parut dan gula merah.,"Ketan hitam, kelapa, gula merah",makanan ,"manis, gurih",280,7,14,35,2,12,400,8,60,"Pekanbaru, Riau"
lontong bengkalis,Lontong dengan kuah kari pedas dan lauk pauk.,"Lontong, daging, rempah",makanan ,"asin, gurih",220,6,8,30,2,6,250,5,50,"Bengkalis, Riau"
ikan tamban salai,Ikan tamban yang diasapi dengan rempah-rempah khas.,"Ikan tamban, rempah",makanan ,"asin, gurih",180,1,8,10,1,22,350,15,200,"Tanjungpinang, Kepulauan Riau"
mie tarempa,Mie dengan kuah kaldu dan isian daging serta sayuran segar.,"Mie, daging, sayuran",makanan ,"asin, gurih",330,5,15,40,3,10,450,8,60,"Tarempa, Kepulauan Riau"
lempah kuning,"Sup ikan dengan kuah kuning pedas, kaya akan rempah.","Ikan, rempah, kunyit",makanan ,"asin, gurih",250,6,12,28,3,15,400,5,70,"Pangkal Pinang, Bangka Belitung"
sup gangan,Sup ikan dengan kuah gurih yang kaya akan rempah.,"Ikan, rempah",makanan ,"asin, gurih",150,4,5,15,2,7,250,10,60,"Pangkal Pinang, Bangka Belitung"
mie koba,"Mie dengan kuah kental pedas, disajikan dengan daging dan sayuran.","Mie, daging, sayuran",makanan ,"asin, gurih",320,6,14,42,3,8,500,10,80,"Pangkal Pinang, Bangka Belitung"
pendap,"Makanan khas Bengkulu berbahan ikan dan rempah, dimasak dengan daun pisang.","Ikan, rempah, daun pisang",makanan ,"asin, gurih",270,7,12,32,3,14,400,8,60,"Bengkulu, Bengkulu"
bakat hiu,"Olahan daging ikan hiu dengan bumbu pedas, dimasak hingga empuk.","Daging ikan hiu, rempah",makanan ,"asin, gurih",200,2,7,20,1,25,350,15,150,"Bengkulu, Bengkulu"
seruit,"Ikan bakar khas Lampung, disajikan dengan sambal khas.","Ikan, sambal",makanan ,"asin, gurih",250,5,10,30,2,18,400,5,70,"Lampung, Lampung"
gulai taboh,"Gulai pedas dengan daging sapi, diolah dengan bumbu rempah khas Lampung.","Daging sapi, rempah",makanan ,"asin, gurih",230,6,10,28,3,14,350,8,80,"Lampung, Lampung"
pandap,Daging sapi yang dimasak dengan bumbu khas Lampung.,"Daging sapi, rempah",makanan ,"asin, gurih",250,6,11,30,3,12,400,10,60,"Lampung, Lampung"
gulai balak,"Gulai dengan bahan utama daging sapi dan santan, berempah khas.","Daging sapi, santan, rempah",makanan ,gurih,260,7,12,32,3,13,450,5,70,"Lampung, Lampung"
gabing,Gabing adalah ikan yang dipanggang dengan bumbu rempah dan sambal.,"Ikan, sambal",makanan ,"asin, gurih",180,4,5,20,2,15,350,8,60,"Lampung, Lampung"
daging masak hitam,Daging sapi yang dimasak dengan bumbu kecap hitam dan rempah.,"Daging sapi, kecap, rempah",makanan ,"asin, gurih",280,5,14,30,3,18,400,10,80,"Jambi, Jambi"
nasi gemuk,"Nasi dengan bumbu khas Jambi yang gurih, disajikan dengan lauk pauk.","Nasi, rempah, lauk",makanan ,"asin, gurih",350,6,16,50,3,10,550,5,60,"Jambi, Jambi"
tempoyak,Fermentasi durian yang biasanya dimakan bersama ikan atau sambal.,"Durian, ikan, sambal",makanan ,"asin, gurih",150,3,6,18,3,3,200,15,90,"Jambi, Jambi"
sate bandeng,Sate yang terbuat dari ikan bandeng dengan bumbu kacang.,"Ikan bandeng, bumbu kacang",makanan ,"asin, gurih",270,4,14,32,2,20,450,10,60,"Serang, Banten"
rabeg,"Olahan daging kambing dengan bumbu pedas, khas Banten.","Daging kambing, rempah",makanan ,"asin, gurih",220,3,12,30,2,16,400,10,70,"Serang, Banten"
angeun lada,"Masakan pedas yang terbuat dari ikan dengan cabai, disajikan dengan nasi.","Ikan, cabai",makanan ,pedas,150,2,6,15,2,6,200,15,80,"Pandeglang, Banten"
gerem asem,Sup daging sapi dengan kuah asam pedas khas Banten.,"Daging sapi, asam, rempah",makanan ,"asin, gurih",170,3,7,20,2,7,250,10,70,"Serang, Banten"
tutug oncom,"Nasi yang dicampur dengan oncom dan bumbu rempah, disajikan dengan lauk.","Nasi, oncom, rempah",makanan ,"asin, gurih",250,6,10,30,3,8,300,5,60,"Bandung, Jawa Barat"
sate maranggi,Sate khas Purwakarta yang terbuat dari daging sapi atau ayam dengan bumbu kacang.,"Daging sapi/ayam, bumbu kacang",makanan ,"asin, gurih",260,3,14,28,2,18,450,8,70,"Purwakarta, Jawa Barat"
nasi timbel,Nasi yang dibungkus daun pisang dan disajikan dengan berbagai lauk pauk.,"Nasi, lauk pauk, rempah",makanan ,"asin, gurih",350,7,16,45,3,12,500,8,60,"Garut, Jawa Barat"
nasi tiwul,"Nasi yang terbuat dari singkong atau jagung, dimasak dengan bumbu khas.","Singkong/jagung, bumbu",makanan ,"asin, gurih",290,6,12,40,3,8,350,10,60,"Kudus, Jawa Tengah"
soto kudus,"Sup dengan kaldu ayam dan kuah bening yang segar, biasanya disajikan dengan ketupat.","Ayam, ketupat, rempah",makanan ,"asin, gurih",200,3,9,20,2,10,300,10,60,"Kudus, Jawa Tengah"
nasi grombyang,Nasi dengan kuah kari kental yang berisi daging ayam atau sapi.,"Nasi, daging, kari",makanan ,"asin, gurih",320,5,15,40,3,9,400,8,70,"Demak, Jawa Tengah"
nasi gandul,"Nasi dengan kuah berwarna kecoklatan, biasanya berisi daging sapi atau ayam.","Nasi, daging sapi/ayam",makanan ,"asin, gurih",350,6,17,50,3,12,500,8,60,"Pati, Jawa Tengah"
mi ongklok,"Mie kuah dengan rasa gurih pedas, sering disajikan dengan sayuran dan daging.","Mie, daging, sayuran",makanan ,"asin, gurih",300,6,12,40,3,10,450,10,70,"Pati, Jawa Tengah"
rawon,"Sup daging sapi dengan kuah hitam khas yang terbuat dari kluwek, disajikan dengan nasi.","Daging sapi, kluwek",makanan ,"asin, gurih",280,4,15,30,2.5,14,400,10,60,"Surabaya, Jawa Timur"
pecel tumpang,Pecel dengan sambal tumpang yang terbuat dari tempe fermentasi.,"Sayuran, tempe, sambal",makanan ,"asin, gurih",200,3,8,25,3,7,250,12,80,"Malang, Jawa Timur"
rujak soto banyuwangi,"Rujak yang disajikan dengan kuah soto, campuran sayuran dan daging ayam.","Sayuran, ayam, sambal",makanan ,"asin, gurih",250,5,10,30,2,7,300,8,60,"Banyuwangi, Jawa Timur"
soto lamongan,"Sup ayam dengan kuah bening, dilengkapi dengan koya dan sambal.","Ayam, sambal, koya",makanan ,"asin, gurih",220,3,10,25,2,10,300,8,70,"Lamongan, Jawa Timur"
gudeg,Makanan dengan bahan utama nangka muda yang dimasak dengan santan dan rempah.,"Nangka muda, santan, rempah",makanan ,gurih,350,7,15,50,3,10,500,10,80,"Yogyakarta, Yogyakarta"
tiwul,"Makanan yang terbuat dari singkong kering, biasanya dimakan dengan lauk pauk.","Singkong, lauk pauk",makanan ,"asin, gurih",270,6,12,35,3,7,350,8,60,"Yogyakarta, Yogyakarta"
gatot,Makanan khas Yogyakarta terbuat dari singkong yang difermentasi.,"Singkong, sambal",makanan ,"asin, gurih",200,5,9,22,3,7,250,10,60,"Yogyakarta, Yogyakarta"
mangut lele,Ikan lele dimasak dengan kuah santan dan bumbu pedas khas Yogyakarta.,"Ikan lele, santan, rempah",makanan ,gurih,250,6,14,30,3,20,400,8,70,"Yogyakarta, Yogyakarta"
bakmi jawa,"Mie dengan kuah gurih dan topping ayam, sayuran, serta bumbu khas Jawa.","Mie, ayam, sayuran",makanan ,"asin, gurih",320,4,15,42,3,9,450,10,60,"Yogyakarta, Yogyakarta"
soto betawi,"Sup daging dengan kuah santan kental, dilengkapi dengan tomat dan emping.","Daging sapi, santan, tomat",makanan ,gurih,300,5,12,35,2,10,400,8,70,"Jakarta, DKI Jakarta"
nasi uduk,"Nasi yang dimasak dengan santan, disajikan dengan lauk seperti ayam goreng dan sambal.","Nasi, santan, ayam",makanan ,gurih,350,6,15,50,3,8,500,10,60,"Jakarta, DKI Jakarta"
semur jengkol,"Daging jengkol dimasak dengan bumbu kecap, rempah, dan sedikit pedas.","Jengkol, kecap, rempah",makanan ,"asin, gurih",280,4,14,30,2,12,350,8,60,"Jakarta, DKI Jakarta"
lontong sayur,Lontong dengan kuah sayur bening dan sambal kacang.,"Lontong, sayur, sambal",makanan ,"asin, gurih",220,5,8,30,3,7,250,10,70,"Jakarta, DKI Jakarta"
ayam betutu,"Ayam yang dimasak dengan bumbu rempah khas Bali dan dibungkus daun pisang, dimasak perlahan.","Ayam, rempah, daun pisang",makanan ,"asin, gurih",300,4,18,25,2,22,450,10,80,"Denpasar, Bali"
nasi jinggo,"Nasi kecil dengan lauk pauk yang terdiri dari ayam, sambal, dan telur.","Nasi, ayam, sambal",makanan ,"asin, gurih",350,6,16,50,3,10,550,8,60,"Denpasar, Bali"
sate lilit,"Sate ikan atau daging yang dibalutkan pada batang serai, dibakar dengan bumbu khas Bali.","Ikan/daging, serai, bumbu",makanan ,"asin, gurih",250,5,13,30,2,20,400,8,70,"Denpasar, Bali"
nasi tepeng,Nasi yang dimasak dengan bumbu rempah dan disajikan dengan lauk pauk khas Bali.,"Nasi, rempah, lauk",makanan ,"asin, gurih",290,6,12,40,3,9,350,10,60,"Singaraja, Bali"
ayam taliwang,"Ayam yang dipanggang dengan bumbu khas Taliwang, pedas dan gurih.","Ayam, rempah, cabai",makanan ,pedas,350,5,18,35,3,25,450,10,80,"Mataram, Nusa Tenggara Barat"
sate bulayak,"Sate daging dengan bumbu kacang dan sedikit pedas, khas NTB.","Daging, bumbu kacang",makanan ,"asin, gurih",270,5,13,30,2,20,400,8,70,"Mataram, Nusa Tenggara Barat"
sayur ares,Sup dari batang pisang dengan bumbu khas NTB.,"Batang pisang, rempah",makanan ,"asin, gurih",80,4,4,10,2,2,200,15,100,"Mataram, Nusa Tenggara Barat"
nasi balap puyung,"Nasi dengan lauk ikan, sambal, dan sayur khas Puyung.","Nasi, ikan, sambal",makanan ,"asin, gurih",320,6,14,42,3,7,400,8,60,"Mataram, Nusa Tenggara Barat"
plecing kangkung,Sayur kangkung yang direbus dan disajikan dengan sambal terasi pedas.,"Kangkung, sambal terasi",makanan ,"asin, gurih",180,3,8,20,2,6,250,25,200,"Mataram, Nusa Tenggara Barat"
kolo,"Nasi jagung khas NTT, sering disajikan dengan lauk daging.","Jagung, daging",makanan ,"asin, gurih",230,4,10,30,3,6,350,5,80,"Kupang, Nusa Tenggara Timur"
catemak jagung,Makanan berbahan jagung yang dimasak dengan santan dan rempah.,"Jagung, santan, rempah",makanan ,gurih,200,5,8,25,4,6,300,10,70,"Kupang, Nusa Tenggara Timur"
jagung bose,Makanan khas NTT yang terbuat dari jagung yang dimasak dengan daging sapi.,"Jagung, daging sapi",makanan ,"asin, gurih",210,6,6,35,4,5,250,15,90,"Kupang, Nusa Tenggara Timur"
sei daging sapi,"Daging sapi asap khas NTT, biasanya dimakan dengan nasi atau jagung bose.","Daging sapi, jagung",makanan ,"asin, gurih",250,2,12,30,2,20,400,5,60,"Kupang, Nusa Tenggara Timur"
bubur pedas,"Bubur khas Pontianak dengan bumbu pedas dan berbagai lauk, seperti ikan.","Beras, ikan, rempah",makanan ,"asin, gurih",180,4,7,22,2,6,200,10,50,"Pontianak, Kalimantan Barat"
bubur ikan,"Bubur dengan kuah ikan pedas, sering disajikan dengan sambal.","Ikan, beras, sambal",makanan ,"asin, gurih",220,5,8,25,3,12,300,15,80,"Pontianak, Kalimantan Barat"
juhu ubut rota,Makanan khas Kalimantan Tengah berupa sup yang terbuat dari ubi dan bahan lainnya.,"Ubi, rempah",makanan ,"asin, gurih",200,4,7,28,2,8,250,10,70,"Palangkaraya, Kalimantan Tengah"
karuang,Makanan terbuat dari daging yang diproses dan dibumbui rempah khas Kalimantan.,"Daging, rempah",makanan ,"asin, gurih",240,6,10,30,3,12,350,8,60,"Palangkaraya, Kalimantan Tengah"
wadi,Makanan khas Kalimantan Tengah yang terbuat dari ikan atau daging yang difermentasi.,"Ikan/daging, rempah",makanan ,"asin, gurih",210,5,8,27,2,9,300,5,60,"Palangkaraya, Kalimantan Tengah"
ketupat kandangan,Ketupat yang disajikan dengan lauk-pauk khas Kalimantan Selatan.,"Ketupat, daging, sambal",makanan ,"asin, gurih",300,6,12,40,3,6,350,5,50,"Banjarmasin, Kalimantan Selatan"
gangan humbut,Gulai ikan khas Kalimantan Selatan yang pedas dan kental.,"Ikan, santan, rempah",makanan ,gurih,250,7,10,30,3,15,400,10,70,"Banjarmasin, Kalimantan Selatan"
lontong orari,"Lontong dengan kuah yang berbumbu asam dan pedas, dilengkapi dengan lauk.","Lontong, lauk, sambal",makanan ,"asin, gurih",270,6,12,35,3,8,400,8,60,"Banjarmasin, Kalimantan Selatan"
iwak pakasam,Ikan yang difermentasi dan dimasak dengan bumbu pedas khas Kalimantan Selatan.,"Ikan, rempah",makanan ,"asin, gurih",280,5,14,30,2,20,450,15,150,"Banjarmasin, Kalimantan Selatan"
nasi bekepor,"Nasi yang dimasak dengan bumbu pedas dan gurih, sering disajikan dengan lauk pauk.","Nasi, lauk, rempah",makanan ,"asin, gurih",320,6,15,40,3,7,400,8,60,"Samarinda, Kalimantan Timur"
nasi kuning,"Nasi yang dimasak dengan kunyit, disajikan dengan lauk pauk seperti ayam dan telur.","Nasi, kunyit, ayam",makanan ,"asin, gurih",350,7,16,45,3,8,500,10,80,"Samarinda, Kalimantan Timur"
gence ruan,Makanan yang terbuat dari nasi yang dimasak dengan bumbu pedas dan disajikan dengan lauk pauk.,"Nasi, bumbu, lauk",makanan ,"asin, gurih",270,5,12,35,3,9,400,8,60,"Samarinda, Kalimantan Timur"
sate payau,"Sate yang terbuat dari daging rusa, dipanggang dengan bumbu khas Kalimantan Timur.","Daging rusa, bumbu",makanan ,"asin, gurih",260,4,13,30,2,20,400,10,70,"Samarinda, Kalimantan Timur"
sate temburung,"Sate dengan daging burung, dipanggang dengan bumbu pedas.","Daging burung, bumbu",makanan ,"asin, gurih",270,5,14,32,3,19,450,8,60,"Tanjung Selor, Kalimantan Utara"
pepes ikan patin kucai,Ikan patin yang dibungkus daun pisang dan dipanggang dengan bumbu kucai.,"Ikan patin, daun pisang",makanan ,"asin, gurih",250,5,11,30,3,18,400,15,70,"Tanjung Selor, Kalimantan Utara"
jepa,"Makanan khas Sulawesi Barat yang terbuat dari ikan dan rempah, dimasak dengan kuah pedas.","Ikan, rempah",makanan ,"asin, gurih",220,5,8,28,3,7,300,10,80,"Mamuju, Sulawesi Barat"
golla kambu,Nasi yang disajikan dengan lauk sambal dan ikan.,"Nasi, ikan, sambal",makanan ,"asin, gurih",250,6,9,30,3,10,350,8,70,"Mamuju, Sulawesi Barat"
tinutuan,"Bubur khas Manado dengan bahan utama jagung, sayuran, dan bumbu pedas.","Jagung, sayuran, bumbu",makanan ,"asin, gurih",180,4,7,20,2,6,250,15,90,"Manado, Sulawesi Utara"
nasi jaha,"Nasi yang dimasak dengan bumbu khas Manado, biasanya dimakan dengan ayam atau ikan.","Nasi, ayam, bumbu",makanan ,"asin, gurih",320,6,15,40,3,7,400,8,60,"Manado, Sulawesi Utara"
kawok,Masakan berbahan dasar ayam atau daging sapi dengan bumbu pedas khas Manado.,"Ayam/daging, bumbu",makanan ,"asin, gurih",230,5,10,28,3,8,300,8,70,"Manado, Sulawesi Utara"
paniki,Olahan daging kelelawar yang dimasak dengan bumbu pedas.,"Daging kelelawar, rempah",makanan ,"asin, gurih",270,5,13,32,3,18,450,10,60,"Manado, Sulawesi Utara"
saut,Sup pedas khas Manado yang terbuat dari bahan dasar ikan dan sayuran.,"Ikan, sayuran, rempah",makanan ,"asin, gurih",230,4,9,28,3,10,350,8,70,"Manado, Sulawesi Utara"
ayam bambu,"Ayam yang dimasak dengan bumbu khas Sulawesi Tengah, dimasak dalam bambu.","Ayam, rempah",makanan ,"asin, gurih",250,6,10,30,3,25,400,10,80,"Palu, Sulawesi Tengah"
kaledo,"Sup kaki sapi dengan kuah bening yang khas, disajikan dengan sambal.","Kaki sapi, sambal",makanan ,"asin, gurih",200,4,8,20,2,10,300,10,70,"Palu, Sulawesi Tengah"
duo sale,Olahan ikan atau daging sapi dengan bumbu pedas dan asam.,"Ikan/daging, rempah",makanan ,"asin, gurih",220,5,10,30,3,12,350,8,60,"Palu, Sulawesi Tengah"
kasuami,Nasi yang terbuat dari singkong yang dimasak dengan cara khusus.,"Singkong, rempah",makanan ,"asin, gurih",280,6,12,35,3,8,400,8,70,"Kendari, Sulawesi Tenggara"
ikan dole,Ikan yang dimasak dengan bumbu pedas khas Sulawesi Tenggara.,"Ikan, cabai",makanan ,pedas,240,5,11,28,3,20,350,15,80,"Kendari, Sulawesi Tenggara"
sinonggi,Sup yang terbuat dari tepung kanji dengan tambahan ikan dan sambal pedas.,"Tepung kanji, ikan, sambal",makanan ,"asin, gurih",200,4,8,25,3,5,250,10,60,"Kendari, Sulawesi Tenggara"
lapa-lapa,Bubur jagung yang disajikan dengan lauk-pauk dan sambal.,"Jagung, lauk, sambal",makanan ,"asin, gurih",230,5,10,28,3,7,300,8,70,"Kendari, Sulawesi Tenggara"
kabuto,Sayuran khas Sulawesi Tenggara yang dimasak dengan rempah dan ikan.,"Sayuran, ikan, rempah",makanan ,"asin, gurih",250,6,12,30,3,8,350,8,60,"Kendari, Sulawesi Tenggara"
sop konro,Sup iga sapi yang dimasak dengan bumbu khas Sulawesi Selatan.,"Iga sapi, rempah",makanan ,"asin, gurih",280,5,14,32,2,20,450,10,70,"Makassar, Sulawesi Selatan"
coto makassar,Sup daging sapi dengan kuah kacang dan bumbu rempah yang kuat.,"Daging sapi, kacang, rempah",makanan ,"asin, gurih",250,4,12,30,2,15,400,8,60,"Makassar, Sulawesi Selatan"
nasi palekko,"Nasi yang disajikan dengan lauk-pauk, seperti ikan dan sambal.","Nasi, ikan, sambal",makanan ,"asin, gurih",320,6,15,40,3,7,400,8,60,"Makassar, Sulawesi Selatan"
binte biluhuta,"Sup jagung dengan bahan ikan dan sayuran, dimasak dengan bumbu khas.","Jagung, ikan, sayuran",makanan ,"asin, gurih",200,3,7,25,2,10,250,10,70,"Gorontalo, Gorontalo"
sate tuna,Sate ikan tuna yang dibumbui dengan rempah khas Gorontalo.,"Ikan tuna, rempah",makanan ,"asin, gurih",280,4,14,30,2,20,400,8,60,"Gorontalo, Gorontalo"
ayam iloni,Ayam yang dimasak dengan bumbu pedas dan rempah khas Gorontalo.,"Ayam, rempah",makanan ,"asin, gurih",250,5,10,28,3,25,400,10,80,"Gorontalo, Gorontalo"
ilabulo,Olahan beras yang dimasak dengan daun pisang dan disajikan dengan ikan.,"Beras, ikan, daun pisang",makanan ,"asin, gurih",220,4,9,28,3,15,350,10,70,"Gorontalo, Gorontalo"
ikan gohu,"Ikan bakar yang dibumbui dengan rempah khas Maluku, dimasak dengan cara dibakar.","Ikan, rempah",makanan ,"asin, gurih",180,3,6,22,2,25,300,15,150,"Ambon, Maluku"
nasi lapola,Nasi yang disajikan dengan ikan bakar dan sambal pedas khas Maluku.,"Nasi, ikan, sambal",makanan ,"asin, gurih",270,5,10,32,3,8,350,8,70,"Ambon, Maluku"
kasbi komplet,Makanan berbahan dasar kasbi yang dimasak dengan lauk ikan atau daging.,"Kasbi, ikan/daging",makanan ,"asin, gurih",280,6,12,35,3,8,400,10,60,"Ambon, Maluku"
kohu-kohu,Sayuran yang dimasak dengan kelapa parut dan bumbu pedas.,"Sayuran, kelapa, sambal",makanan ,gurih,230,4,7,25,2,6,250,15,90,"Ambon, Maluku"
papeda,Bubur sagu khas Maluku yang disajikan dengan ikan kuah kuning.,"Sagu, ikan, kuah kuning",makanan ,"asin, gurih",150,2,1,35,2,4,200,5,80,"Ambon, Maluku"
gatang kenari,Masakan khas Maluku Utara yang terbuat dari kenari dan ikan.,"Kenari, ikan",makanan ,"asin, gurih",220,4,8,28,3,6,250,8,70,"Ternate, Maluku Utara"
ikan kuah kuning,"Ikan yang dimasak dengan kuah kuning pedas, khas Papua Barat Daya.","Ikan, kunyit, rempah",makanan ,"asin, gurih",240,5,10,30,3,20,350,15,80,"Sorong, Papua Barat"
keladi tumbuk,Makanan khas Papua yang terbuat dari keladi yang dihaluskan dan dicampur dengan bahan lainnya.,"Keladi, rempah",makanan ,"asin, gurih",200,4,6,25,3,5,250,10,70,"Jayapura, Papua"
norohombi,Sup berbahan dasar sagu dan sayuran khas Papua.,"Sagu, sayuran",makanan ,"asin, gurih",230,5,8,28,3,6,300,8,70,"Jayapura, Papua"
ikan bungkus,Ikan yang dibungkus daun dan dimasak dengan rempah khas Papua Pegunungan.,"Ikan, rempah, daun pisang",makanan ,"asin, gurih",220,4,8,30,3,15,350,10,70,"Wamena, Papua"
sagu sep,Makanan khas Papua Selatan yang terbuat dari sagu dan disajikan dengan lauk pauk.,"Sagu, lauk pauk",makanan ,"asin, gurih",180,3,6,25,2,4,250,10,80,"Merauke, Papua"
udang selingkuh,Udang yang dimasak dengan bumbu pedas dan rempah khas Papua Barat.,"Udang, rempah",makanan ,"asin, gurih",200,3,6,28,3,18,300,10,70,"Sorong, Papua Barat"
dada tuna,Daging tuna yang dimasak dengan bumbu pedas dan disajikan dengan nasi.,"Tuna, rempah",makanan ,"asin, gurih",250,5,10,30,3,25,350,10,80,"Sorong, Papua Barat"
wedang ronde,minuman jahe dengan ronde (bola tepung ketan isi kacang),"jahe, kacang tanah, ronde",minuman,pedas,150,18,0,35,1,0,40,10,50,"Jawa Tengah, Jawa Tengah"
es dawet ayu,minuman dingin dengan jeli hijau yang terbuat dari tepung beras dan santan,"santan, gula aren",minuman,"manis, gurih",120,25,0,28,0,1,30,20,40,"Banjarnegara, Jawa Tengah"
wedang uwuh,minuman hangat yang terbuat dari rempah-rampah,"jahe, kayu secang, daung cengkih, gula batu",minuman,"manis, pedas",90,12,1,20,1,0,40,10,50,"Bantul, Yogyakarta"
bajigur,minuman hangat khas masyarakat sunda berbahan dasar santan dan gula merah,"santan, gula merah, jahe",minuman,"manis, pedas, gurih",140,22,3,30,2,1,50,10,80,"Jawa Barat, Jawa Barat"
es selendang mayang,minuman tradisional betawi yang berbentuk puding dan bewarna mencolok,"tepung beras, santan, gula merah",minuman,"manis, gurih",120,20,0,30,1,1,40,15,40,"Jakarta, DKI Jakarta"
es teler,minuman segar yang terdiri dari potongan buah-buahan dan bahan lainnya dilengkapi dengan sirup dan susu kental manis,"buah-buahan, sirup, kental manis, es serut",minuman,manis,180,35,2,40,3,2,50,25,50,"Solo, Jawa Tengah"
es oyen,"es campur khas Bandung yang manis, segar, dan menyegarkan","kelapa muda, alpukat, pacar cina, susu kental manis, sirup",minuman,"manis, gurih",200,30,1,40,3,2,50,25,50,"Bandung, Jawa Barat"
es kacang merah,es manis dengan kacang merah rebus,"kacang merah, santan, gula pasir",minuman,"manis, gurih",160,28,2,35,3,2,60,20,60,"Palembang, Sumatera Selatan"
es tambring,es kelapa muda bercampur dengan sirup asam jawa yang segar,"kelapa muda, gula merah",minuman,"manis, gurih",130,26,1,28,2,1,50,10,40,"Bali, Bali"
sarabba,minuman jahe hangat bercampur santan dan kuning telur,"jahe, santan, gula merah, kuning telur",minuman,"manis, pedas, gurih",120,22,2,30,2,1,50,10,60,"Makassar, Sulawesi Selatan"
es laksamana mengamuk,minuman yang terbuat dari buah kuweni yang dipadu dengan legitnya santan dan gula merah,"buah kueni, santan, biji selasih, gula putuh, daun pandan",minuman,"manis, gurih",150,28,1,32,3,1,50,15,50,"Riau, Riau"
es pleret,"bola-bola kecil kenyal terbuat dari tepung beras, santan, dan disajikan dengan sirup gula merah dan es batu","tepung beras, santan, gula merah",minuman,"manis, gurih",130,24,1,28,3,1,60,10,50,"Blitar, Jawa Timur"
bandrek,minuman hangat khas masyarakat Sunda yang terbuat dari jahe dan rempah-rempah khas,"jahe, kayu manis, serai, cengkeh, daun pandan",minuman,pedas,140,18,3,30,2,1,50,10,60,"Jawa Barat, Jawa Barat"
teh talua,"minuman tradisional campuran teh, gula, telur dan perasan jeruk nipis","teh, gula, telur, perasan jeruk nipis",minuman,manis,50,10,0,12,1,1,20,20,20,"Sumatera Barat, Sumatera Barat"
tuak,minuman beralkohol khas masyarakat Batak yang sering digunakan dalam upacara adat,"sadapan pohon aren, kelapa, siwalan atau lontar",minuman,pahit,200,30,0,50,1,1,40,10,80,"Sumatera Utara, Sumatera Utara"
bir pletok,"minuman penghangat khas masyarakat Betawi. Bahan baku minuman ini utamanya adalah jahe dan secang, serta berbagai macam rempah-rempah lainnya.","cengkeh, daun pandan, jahe, kapulaga, kayu manis, garam, gula",minuman,"asin, manis, pedas",180,25,0,40,2,1,60,10,80,"Jakarta, DKI Jakarta"
es air mata pengantin,"minuman khas yang berasal dari Kota Riau, minuman ini merupakan minuman yang berbahan dasar agar-agar serut, dan di bubuhi dengan biji selasih dan disajikan dengan pewarna makanan","agar-agar, pewarna makanan, air, gula pasir",minuman,manis,180,30,0,40,2,2,50,15,60,"Riau, Riau"
lahang,minuman isotonik khas Indonesia yang terbuat dari getah tumbuhan,getah arenga pinnata,minuman,manis,200,6,6,30,3,4,250,10,80,"Jawa Barat, Jawa Barat"
kopi gayo ,kopi arabika dengan aroma yang kaya dan rasa yang seimbang,biji kopi gayo,minuman,pahit,2,0,0,0,0,0,5,0,0,"Gayo, Aceh"
kopi sidikalang,kopi dengan cita rasa yang khas dan mempunyai tekstur yang paling halus diantara kopi lainnya,biji kopi sidikalang,minuman,pahit,5,0,0,1,0,0,2,0,0,"Sidikalang, Sumatera Utara"
kopi toraja,karakter kopi yang cukup berat dengan body tebal dan tingkat keasaman rendag,biji kopi toraja,minuman,pahit,5,0,0,1,0,0,2,0,0,"Sulawesi Selatan, Sulawesi Selatan"
sekoteng,sekoteng memiliki cita rasa hangat dan dinikmati saat cuaca dingin. Sekoteng memiliki manfaat dapat menurunkan kadar kolesterol dan mengurangi rasa mual.,"jahe, gula merah, gula pasir, kacang hijau, pacar cina, potongan roti",minuman,"manis, pedas",120,25,2,28,1,1,40,10,40,"Jawa Tengah, Jawa Tengah"
teh gaharu,minuman hangat dari daun gaharu yang dikeringkan selama 3-5 hari kemudian direbus,pucuk daun gaharu,minuman,"pahit, manis",30,0,0,7,0,1,2,10,10,"Kalimantan Selatan, Kalimantan Selatan"
